,Segmentation,Obs,Customer,I.tend.to.plan.things.very.carefully.,I.sometimes.have.trouble.controlling.my.spending.,I.think.it.is.important.to.purchase.products.that.are.made.locally.,I.carefully.consider.the.health.benefits.of.what.I.eat.,Segment,Please indicate how important the following factors are when you visit a restaurant - Convenient,Please indicate how important the following factors are when you visit a restaurant - Variety,Please indicate how important the following factors are when you visit a restaurant - Value,Please indicate how important the following factors are when you visit a restaurant - Healthy,Please indicate how important the following factors are when you visit a restaurant - Taste,Please indicate how important the following factors are when you visit a restaurant - Staff,Please indicate how important the following factors are when you visit a restaurant - Ambiance,Please indicate how important the following factors are when you visit a restaurant - Consistency,Please indicate how important the following factors are when you visit a restaurant - Community,Please indicate how important the following factors are when you visit a restaurant - Other,What is your gender?,What is your age?,What is your approximate average annual household income?,How would you best describe your household type?
109,Seg2,154,0,2,2,1,2,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,2.0,2.0
110,Seg2,156,0,1,1,1,1,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,
111,Seg3,157,0,3,2,3,3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0
112,Seg1,158,0,2,3,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,2.0
113,Seg2,160,0,2,2,2,1,4.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,,1.0,3.0,1.0,2.0
114,Seg1,161,0,2,3,2,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,1.0,1.0
115,Seg3,162,0,2,2,3,2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,2.0
116,Seg1,163,0,1,4,2,2,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,,2.0,4.0,2.0,1.0
117,Seg3,165,0,2,3,2,3,1.0,,,,,,,,,,,,,,
118,Seg3,167,0,3,2,3,3,1.0,,,,,,,,,,,,,,
119,Seg2,168,0,1,4,2,1,3.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,,1.0,1.0,1.0,2.0
120,Seg3,169,0,2,3,2,3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,4.0,1.0,2.0
121,Seg3,170,0,2,3,3,2,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,,1.0,2.0,1.0,2.0
122,Seg1,172,0,2,3,2,2,2.0,,,,,,,,,,,,,,
123,Seg2,173,0,1,1,2,2,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0
124,Seg3,174,0,1,4,4,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0
125,Seg1,175,0,2,3,2,1,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,1.0,4.0,3.0,2.0
126,Seg2,176,0,1,2,2,2,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0
127,Seg3,177,0,2,2,2,2,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0
128,Seg3,178,0,2,2,2,2,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,3.0,2.0
129,Seg2,179,0,1,3,2,2,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,3.0,1.0,2.0
130,Seg2,180,0,1,1,2,2,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,3.0,1.0,2.0
131,Seg2,182,0,1,3,2,1,3.0,6.0,,1.0,,2.0,,1.0,6.0,,,2.0,4.0,3.0,3.0
132,Seg1,183,0,3,3,2,2,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,2.0
133,Seg1,184,0,2,4,2,2,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,,1.0,3.0,1.0,2.0
134,Seg2,185,0,1,4,1,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,2.0,1.0
135,Seg1,186,0,2,4,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,4.0,1.0,2.0
136,Seg3,187,0,2,3,2,3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,2.0
137,Seg1,189,0,1,4,2,3,,,,,,,,,,,,,,,
138,Seg2,190,0,1,3,2,2,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,1.0
139,Seg1,191,0,2,4,2,1,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,,1.0,3.0,1.0,1.0
140,Seg2,192,0,2,2,1,1,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,2.0
141,Seg3,193,0,2,2,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0
142,Seg1,195,0,2,3,2,2,2.0,,,,,,,,,,,,,,
143,Seg1,198,0,2,3,2,2,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,2.0,3.0,2.0,2.0
144,Seg1,199,0,2,4,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,1.0
145,Seg1,200,0,1,4,2,2,3.0,4.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0
146,Seg2,201,0,1,1,1,2,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0
147,Seg1,202,0,2,3,2,2,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,4.0,1.0,1.0
148,Seg1,204,0,2,3,2,2,2.0,,,,,,,,,,,,,,
149,Seg1,205,0,2,4,3,2,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,,1.0,2.0,2.0,2.0
150,Seg2,206,0,1,3,1,2,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,,2.0,3.0,1.0,3.0
151,Seg3,208,0,2,2,2,2,4.0,,,,,,,,,,,,,,
152,Seg1,210,0,2,3,1,2,2.0,,,,,,,,,,,,,,
153,Seg1,212,0,2,4,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,
154,Seg3,213,0,2,2,3,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,2.0
155,Seg3,215,0,2,2,2,3,1.0,,,,,,,,,,,,,,
156,Seg1,216,0,2,4,2,2,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,,1.0,2.0,1.0,1.0
157,Seg1,217,0,3,3,2,2,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0
158,Seg1,218,0,1,4,1,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,1.0,2.0,2.0,2.0
159,Seg3,220,0,2,2,2,2,4.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,,2.0,3.0,3.0,2.0
160,Seg1,222,0,2,3,2,2,2.0,,,,,,,,,,,,,,
161,Seg3,224,0,2,2,2,2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,
162,Seg1,225,0,2,4,1,2,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,4.0,2.0,2.0
163,Seg1,226,0,2,4,2,1,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,drive thru,1.0,4.0,2.0,3.0
